label,text
1,"The company , which celebrates its fiftieth anniversary next year , has been exporting distinctive detached homes to Central Europe for several decades ."
0,Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .
1,The new technology improves the glass quality and consistency while increasing throughput .
0,Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' .
0,The situation of coated magazine printing paper will continue to be weak .
1,YIT says the acquisition is a part of its strategy for expansion in Central and Eastern European markets .
0,Ramirent made 18 million kroons EUR 1.15 mln loss last year ; the year before the company was 7.3 million kroons in the black .
1,"The company , which makes garden tools , scissors and other consumer goods , said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila ."
0,"Currently , the company foresees its pre-tax profit to remain below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit ."
1,CEO Erkki J+Ærvinen is happy with the company 's performance in 2010 .
1,Technopolis is Europe 's leading operator of technoparks .
1,"According to PKC , the acquisition would bring a significant addition to PKC 's customer base ."
1,"The new agreement , which expands a long-established cooperation between the companies , involves the transfer of certain engineering and documentation functions from Larox to Etteplan ."
0,"Operating profit excluding non-recurring items decreased to EUR 6.2 mn from EUR 16.8 mn in 2007 , representing 2.3 % of net sales ."
0,Finnish M-real 's Kyro mill is starting negotiations to cut staff .
1,"Suominen Corporation estimates that the cost-cutting program that started in autumn 2005 , higher sales prices , and expected growth in volume of Wet Wipes , will make the company 's operations more profitable ."
1,"The move is aimed at boosting sales , cost-efficiency and market share in Finland ."
1,Net sales of Finnish food industry company L+Ænnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .
1,"There are companies , which are ready to invest their own funds in this deal such as Rostelecom RTS : RTKM ."
0,"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 ."
1,The acquisition is expected to improve access to chrome ore resources in Turkey .
1,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 ."
0,"The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today ."
1,"( ADP News ) - Oct 31 , 2008 - Finnish food company Raisio Oyj ( OMX : RAIVV ) said today that its net profit jumped to EUR 16.4 million ( USD 20.9 m ) for the first nine months of 2008 from EUR 1.1 million for the same period of 2"
0,"The period 's sales dropped to EUR30 .6 m from EUR38 .3 m , according to the interim report , released today ."
1,"Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa ."
0,"Finnish Suominen Corporation that makes wet wipes , nonwovens , and flexible packaging is starting employer-employee negotiations at its Tampere plant in Finland to lay off about 25 employees ."
1,Finnish silicon wafers manufacturer Okmetic Oyj said it swung to a net profit of 4.9 mln euro $ 6.3 mln in the first nine months of 2006 from a net loss of 1.8 mln euro $ 2.3 mln a year earlier .
1,"LONDON AFX - Shares in Rautaruukki Corp have been upgraded to ` hold ' from ` sell ' by ABN Amro , with the price target raised to 25.75 eur from 14.5 , said dealers ."
0,Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 .
1,"`` Last year , Finnair recorded a 32.6-percent growth on the Asian sector , carrying more than 1.10 million passengers between the two continents . ''"
0,"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier ."
1,"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said ."
1,`` Consumers have very well received our packed fresh meat .
1,1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .
1,"Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn ."
1,`` I am extremely delighted with this project and the continuation of cooperation with Viking Line .
1,"`` This contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing ."
1,"Dirk Jones , head of Financial Institutions Client Sales Management , GTS , Citigroup , Inc , said , ` Citi is extremely pleased to be providing global custody services to Pohjola Group Bank ."
1,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .
0,"As production of other products will continue normally , temporary lay-offs concern simultaneously at most 80 employees ."
1,Net sales revenue per passenger is expected to increase .
1,Technical indicators for the stock are bullish and S&P gives NOK a positive 4 STARS out of 5 buy ranking .
1,Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) .
1,The aim is an annual improvement in Ruukki Construction 's operating profit of more than EUR 3 million USD 4.1 m starting in 2009 .
1,Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .
1,Shareholders of Rakvere Lihakombinaat decided in favor of the buyout of minority shares in mid-July .
1,Cargo volume grew by 7 % .
0,"According to Laavainen , Raisio 's food marketing used to be reactive and inconsistent ."
0,"Operating profit , excluding non-recurring items , totalled EUR 2.2 mn , down from EUR 2.7 mn in the corresponding period in 2008 ."
1,"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth ."
1,"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares ."
1,"The original name Componenta +_m+_l , as a subsidiary of the Finnish Componenta Group , has been changed to +_m+_l Components and the company has seen a 63 % growth in Q1 2010 , in comparison to Q1 2009 ."
1,The insurer anticipates its share in Nordea 's net profit to be significant .
0,"Loss after financial items totalled EUR 9.7 mn , compared to a profit of EUR 1.3 mn in the corresponding period in 2008 ."
0,"Operating profit decreased to nearly EUR 1.7 mn , however ."
1,"The Nokian tyre proves its high safety excellently in the important driving qualities stability with mark 1.4 , handling 1.5 and braking on wet road with 1.9 ."
1,We look forward to helping the company develop its operational services and further digitalize its services for its customers . ''
1,Acquisitions have been made and businesses have been well integrated .
1,The acquisition of Kaupthing Sverige will bring a significant positive non-recurring addition to the group 's performance .
1,"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share ."
1,"`` BasWare 's product sales grew strongly in the financial period , by 24 percent ."
1,TeliaSonera said about $ 100 million will be invested in the next year in the region to bring mobile coverage to about 90 % of Nepal s population .
1,Stora Enso owns 43 percent of Bergvik and earns therefore SEK 1.5 bn on the value appreciation .
1,"Raute posted a net profit of 1.8 mln euro $ 2.6 mln for the third quarter of 2007 , compared to a net loss of 299,000 euro $ 430,000 for the corresponding period of 2006 ."
1,"Technopolis and the St. Petersburg government signed a cooperation memorandum in October 2005 to set up a techno-park in the Neudorf production zone in the village of Strelny , in the St. Petersburg suburbs ."
1,More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .
1,18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .
1,The company has committed to further expanding the Apollo portfolio .
0,in Finland Finnish pharmaceutical company Orion Corporation OMX Helsinki : ORNAV said on Wednesday 7 January that it has concluded its personnel negotiations in Finland and will reduce the number of personnel by 205 .
1,"Revenue from July to September grew 21 percent to EURO 2.3 billion , the Finnish company said Thursday ."
1,"The EBITDA was EUR116m compared to EUR115m , corresponding to an EBITDA margin of 33 % ."
1,"The adapter , awarded with the `` Certified Integration for SAP - ; NetWeaver '' endorsement , integrates Basware s invoice automation and procurement solutions with more than 200 different ERP systems ."
0,Operating profit fell to EUR 6.2 mn from EUR 8.5 mn in the third quarter of 2007 .
0,Net sales fell by 33 % from the third quarter of 2008 to EUR 130.5 mn .
0,"The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder , Estonia 's A. Le Coq , also added to the losses ."
1,Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .
0,Operating profit decreased to EUR 16mn from EUR 21.1 mn in 2008 .
1,"Previously , the company anticipated its operating profit to improve over the same period ."
0,The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced .
1,"To our members and partners , the use of IT will mostly be apparent in the increased efficiency of the results service , '' observes Perttu Puro from Tradeka ."
0,Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier .
1,"Finnish flexible packaging manufacturer Suominen Corporation reports net sales of EUR 54.5 mn in the first quarter of 2008 , compared with EUR 54.3 mn a year earlier ."
1,`` I warmly welcome Michael Frei to Outotec .
1,"Kai Tulonen , Chief Technology Officer , SysOpen Digia says : `` Mobility Business Suite represents a significant milestone in the company 's offering to the telecommunications industry ."
1,Finnish lifting equipment maker Konecranes HEL : KCR1V said on 29 July 2009 it has raised its stake in Austrian manipulator maker ACS Konecranes to 80 % and bought German sector player Knight Europe .
1,Orders received grew by 55 % year-on-year to EUR732m .
1,"Furthermore , Novator Finland Oy has entered into a securities lending agreement , whereby Novator Finland Oy will hold directly the same amount of shares that are underlying of the OMX market forwards from May 23 through May 26 , 2008 ."
1,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .
1,"9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak ."
1,Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .
1,The cooperation will double The Switch 's converter capacity .
1,"EBITDA for the year 2009 improved to EUR484m , as compared with EUR472m in 2008 ."
1,The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .
1,"`` I 'm happy with the outcome , '' Sneed said after the hearing ."
1,"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 ."
1,Sales in Finland rose by 3.9 % and international growth was 0.7 % .
0,"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea"
1,"Via the move , the company aims annual savings of some EUR3m , the main part of which are expected to be realized this year ."
0,Finnish industrial group Ruukki Group has brought counter action against Finnish metal company Rautaruukki in the dispute concerning the names of the companies .
0,"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told ."
1,That would be an increase from estimated sales of 117 million last year .
1,"Via the move , the company aims annual savings of some EUR 3 million USD 4.3 m , the main part of which are expected to be realized this year ."
1,The company is well positioned in Brazil and Uruguay .
1,"`` Lidskoe Pivo 's investment program foresees the integrated modernization of production , updating transport and logistics infrastructure and developing new marketing instruments , '' Mikshis said ."
1,The EPS outlook was increased by 5.6 pct for 2007 and 7.0 pct for 2008 .
1,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .
0,Subscription sales decreased slightly .
1,"`` We reached agreement with the union that flights will continue as normal , '' Finnair spokesman Usko Maatta said ."
0,"In Finland , the Bank of +_land reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 ."
1,"Microsoft also churned up its courtship , agreeing to use the Navteq mapping service , which is offered by a company Nokia bought for $ 8.1 billion a few years ago ."
1,"The company said that it will supply the WCDMA 3G-HSPA radio network , including the modular , high capacity Nokia Flexi WCDMA base station in East Java , Bali , Sumatra and Batam ."
1,Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .
1,Performance in the second half of 2009 exceeded expectations .
1,"Known as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people ."
1,The parties have also agreed on options that allow UH to extensively implement later on also functionalities of human resources management .
1,Revenues at the same time grew 14 percent to 43 million euros .
0,Nokia will certainly disagree with Qualcomm 's views on the patent situation .
0,Most of the layoffs will be in Finland .
1,"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 ."
1,`` Our customer has been satisfied with Basware Invoice Automation solution and extends the implementation to new geographies .
0,"In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''"
0,"Finnish Suominen Flexible Packaging Ltd , owned by local textile company Suominen Corporation Group ( HEL : SUY1V ) , said today that it would start employee negotiations concerning its entire personnel in Finland ."
0,Finnish forest industry group Stora Enso Oyj issued on Thursday ( 20 March ) a profit warning for the first quarter 2008 .
1,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % ."
0,Operating loss amounted to EUR 0.9 mn in the first half of 2006 compared to a profit of EUR 0.5 mn in the first half of 2005 .
1,"Sales are expected to increase in the end of the year 2006 , however ."
0,"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 ."
1,"In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 ."
1,"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said ."
1,Operating profit improved by 44.0 % to ER 4.7 mn from EUR 3.3 mn in 2004 .
1,"Metrics in QPR ScoreCard now support date , text and milestone-based values , which improve its support for managing projects around performance or process-related content ."
1,"Finnish Metso will supply new wood handling and bleaching lines , as well as a rebuild of the kraft liner washing line for Klabin 's Tel+maco Borba mill in the Brazilian state of Paran+è ."
1,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .
0,Expense ratio was 102.6 % compared to 92.9 % in the corresponding period in 2005 .
1,"`` The margarine business has been put into good shape in the last two years , making it a natural addition to Bunge , which is looking to leverage its position in the Central and Northern European markets , '' Raisio CEO Matti Rihko said in a statement ."
0,"The workforce will be reduced also in the Amsterdam office , in the Netherlands ."
1,"The company 's operating income ( EBIT ) totalled EUR 0.0 mn , up from EUR -0.3 mn year-on-year ."
0,"At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 ."
1,The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 .
1,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln ."
1,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .
0,It is the most awkward thing to use if you 're holding the phone with one hand .
0,The current lay-offs are additional to the temporary lay-offs agreed in December 2008 and in May 2009 .
1,Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .
0,He said he has been losing five families a month to the economy as many make alternative arrangements to save money .
0,Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .
1,"Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur ."
1,These measures are expected to produce annual cost savings of EUR 1.5 million starting in 2007 .
0,"Outokumpu 's steel mill in Tornio , in Finland , is the suspected source ."
1,Finnish operator Elisa and Aker Yards have signed a long-term service deal through which Elisa will deliver all necessary voice and data services for Aker Yards in Finland .
1,The aim is to convert the plants into flexible manufacturers of new and technologically demanding products .
1,"`` We are delighted to announce our support for Intel based handheld platforms , the capabilities of which have made our development easier and faster ."
1,Altimo and TeliaSonera said yesterday that Usmanov would be welcome to join the new company .
1,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % ."
1,"According to Karhinen , OP-Pohjola is an exciting enterprise because the cooperation will bring huge opportunities for customers and the company itself ."
1,The transaction is in line with Aspo 's strategy to expand in the Baltic Sea region and in the eastern markets .
1,"Meanwhile , Electrowatt-Ekono Philippines , Inc. was also awarded a three-year operation and maintenance ( O&M ) contract by FR Cement Corporation ."
1,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea ."
1,The training modules aim at strengthening the public accounting abilities and fulfilling communal project management .
1,"The iTunes-based material will be accessible on Windows-based or Macintosh computers and transferable to portable devices , including Apple 's iPods ."
1,"Finnish steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today its net loss contracted to EUR 49 million ( USD 68.2 m ) for the first nine months of 2010 from EUR 229 million for the same period a year ago ."
1,"Elcoteq 's stock of orders has stabilised in the past weeks , Mr Krippl said ."
0,Also construction expenses have gone up in Russia .
0,"Therefore , the company 's 2005 result will remain weaker than that of 2004 ."
1,A memorandum of understanding on cooperation between the Finnish Global Chemical Company KEMIRA and Vietnam National Chemicals Group ( Vinachem ) was signed on this occasion .
0,"The OMX Helsinki index was down 0.34 pct at 8,256.02 on turnover of 813.191 mln eur ."
1,The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % .
0,"In the Baltic countries , sales fell by 40.2 % , and in Russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency ."
0,"In September alone , the market declined by 10.2 percent year-on-year to 19.28 million liters ."
1,Demand was brisk as expected and order levels have remained high .
1,Finnish Outotec has been awarded a contract to supply a new zinc roaster with gas cleaning and sulphuric acid plant for the OZK Kardzhali zinc smelter in Bulgaria .
1,Rautaruukki Corporation Stock exchange release 3 December 2009 at 12 noon Ruukki 's construction and engineering divisions are to further improve and adjust their operations in Finland .
1,President and CEO Mika Vehvil+Æinen says the positive signs are first and foremost emerging outside Finland .
1,The Group aims to increase its net sales and comparable operating profit in 2006 .
0,This is bad news for the barbeque season .
0,"According to Scanfil , demand for telecommunications network products has fluctuated significantly in the third quarter of 2006 , and the situation is expected to remain unstable for the rest of the year ."
1,"Nevertheless , Fitch notes that the business fundamentals of the three banks currently remain sound ."
1,"Production capacity will rise gradually from 170,000 tonnes to 215,000 tonnes ."
0,Small investors have voiced fears that the shares will end up with risk investors .
1,"Nokia Multimedia 's net sales totaled EUR 5.7 bn , up 45 % from the corresponding period in 2005 ."
0,"According to the Latvian business register , Uponor Latvia closed in red with LVL 99,000 EUR 139,538.17 USD 194,556.48 on turnover of LVL 2.346 mn for 2009 ."
1,Talvivaara also maintains its assumption of turning cash flow positive before the year end .
1,"The company booked April-June new orders worth 949 mln eur , compared with 786 mln eur in the same period a year ago ."
0,F-Secure also point out the logical weakness in the sequenced numbers of a card approach that has apparently already been utilised .
1,"Stora Enso R shares rose 1.20 pct to 11.84 eur , UPM-Kymmene was also dragged higher , rising 1.68 pct to 17.56 eur and M-Real B added 2.38 pct to 4.30 eur ."
1,`` Residentialconstruction in particular has picked up in several markets .
1,"The company estimates that the trend in demand for sports equipment will be steady in 2006 , '' Amer 's report said ."
1,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems ."
1,Strong growth has continued also in China .
0,"According to Aktia Asset Management , Finnish analysts ' forecasts for 2009 are still too high ."
0,Scanfil will execute the temporary lay-offs by mid-October 2009 and the job cuts by March 2010 .
0,"In the first half of 2008 , the Bank 's operating profit fell to EUR 11.8 mn from EUR 18.9 mn , while net interest income increased to EUR 20.9 mn from EUR 18.8 mn in the first half of 2007 ."
1,"Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia ."
1,We can capitalize on our experience from a number of similar bridge projects in the Nordic countries .
1,"Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005 , an increase of 4.5 percent on the previous year , the airline reported Tuesday ."
0,"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % ."
1,"BasWare 's CEO Ilkka Sihvo comments in conjunction with the Interim Report : `` As a whole , BasWare succeeded well in the second quarter of 2007 ."
0,"External net sales from the printing business fell by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices ."
0,Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 .
1,"Finnish airline Finnair has won a deal with the UK public sector to be the official airline for flights from London Heathrow to Osaka in Japan , as well as flights between Manchester in the UK and Helsinki in Finland ."
1,"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year ."
1,The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .
0,Profit for the period fell to EUR 1.6 mn from EUR 7.5 mn in January-September 2008 .
1,"We can choose the most efficient , best overall value option for our customers already at the bidding stage ."
1,Olvi has posted a strong set of figures for the first six months of this year .
1,Previously the company has estimated its operating profit to reach the level of 2005 only .
0,Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .
1,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month ."
1,Turnover rose to EUR21m from EUR17m .
0,"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) ."
0,"HELSINKI AFX - Kesko Corp is expected to report a lower second quarter EPS today due to tax charges , but other earnings lines are seen higher year-on-year , analysts said ."
0,"Thanks to the internet , consumers compare products more than previously and Finnish companies are not competitive ."
1,It is now the leading private road ambulance service company in Finland .
1,"We also strengthen our existing partnership with Cybercom '' , says Teleste CTO Esko Myllyla ."
1,The soapstone deposits in the Medvezhyegorsk area are expected to increase Tulikivi 's current reserves considerably .
1,Unit costs for flight operations fell by 6.4 percent .
1,"Finnish Suominen Corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of EUR 44.1 mn in the second quarter of 2010 , up from EUR 43.3 mn in the second quarter of 2009 ."
1,Espoon kaupunki awarded contracts for personal care products .
1,"In the first quarter of 2010 , the mark-to-market result was a pretax profit of EUR 133 million versus a loss of EUR 32 million in the same period last year ."
1,"Nevertheless , its market share rose to 49.14 percent from 48.51 percent a year earlier ."
1,Passenger volumes rose by 8.4 % in the accounting period .
0,Finnish Bank of +_land +_landsbanken has issued a profit warning .
0,"The tightened competition situation in the production automation market has affected net sales during 2006 , Cencorp said ."
0,Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .
0,"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009 ."
0,"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 ."
1,"Cooper SH , the UK distributor for lift equipment manufacturer Konecranes , won the five-year deal which involves low maintenance and fuel saving technologies ."
0,"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn ."
0,"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue ."
1,"`` The transaction strengthens our position ... in design and branded goods , '' said Fiskars president and CEO Heikki Allonen , pointing out that the two groups have relatively few overlapping operations ."
